transaction_id,transaction_date,transaction_time,store_id,product_id,transaction_qty,unit_price,total_amount
1,2023-01-01,07:06:11,5,32,2,3.0,6.0
2,2023-01-01,07:08:56,5,57,2,3.1,6.2
3,2023-01-01,07:14:04,5,59,2,4.5,9.0
4,2023-01-01,07:20:24,5,22,1,2.0,2.0
5,2023-01-01,07:22:41,5,57,2,3.1,6.2
6,2023-01-01,07:22:41,5,77,1,3.0,3.0
7,2023-01-01,07:25:49,5,22,1,2.0,2.0
8,2023-01-01,07:33:34,5,28,2,2.0,4.0
9,2023-01-01,07:39:13,5,39,1,4.25,4.25
10,2023-01-01,07:39:34,5,58,2,3.5,7.0
11,2023-01-01,07:43:05,5,56,1,2.55,2.55
12,2023-01-01,07:44:35,5,33,2,3.5,7.0
13,2023-01-01,07:45:51,5,51,1,3.0,3.0
14,2023-01-01,07:48:19,5,57,1,3.1,3.1
15,2023-01-01,07:52:36,5,87,2,3.0,6.0
16,2023-01-01,07:59:58,5,47,2,3.0,6.0
17,2023-01-01,07:59:58,5,79,1,3.75,3.75
18,2023-01-01,08:00:18,8,42,1,2.5,2.5
19,2023-01-01,08:00:39,8,59,2,4.5,9.0
20,2023-01-01,08:11:45,8,61,1,4.75,4.75
21,2023-01-01,08:17:27,8,33,2,3.5,7.0
22,2023-01-01,08:24:26,5,56,2,2.55,5.1
23,2023-01-01,08:24:26,5,69,1,3.25,3.25
24,2023-01-01,08:29:38,8,56,1,2.55,2.55
25,2023-01-01,08:31:23,8,40,1,3.75,3.75
26,2023-01-01,08:33:08,5,43,1,3.0,3.0
27,2023-01-01,08:33:08,5,76,1,3.5,3.5
28,2023-01-01,08:35:03,5,45,2,3.0,6.0
29,2023-01-01,08:35:03,5,71,1,3.75,3.75
30,2023-01-01,08:41:57,8,40,2,3.75,7.5
31,2023-01-01,08:52:03,8,38,1,3.75,3.75
32,2023-01-01,08:52:32,5,26,1,3.0,3.0
33,2023-01-01,08:54:33,5,27,2,3.5,7.0
34,2023-01-01,08:56:27,5,29,2,2.5,5.0
35,2023-01-01,08:57:46,8,54,1,2.5,2.5
36,2023-01-01,08:58:55,5,26,1,3.0,3.0
37,2023-01-01,09:00:12,5,55,1,4.0,4.0
38,2023-01-01,09:00:24,8,40,2,3.75,7.5
39,2023-01-01,09:07:13,8,45,1,3.0,3.0
40,2023-01-01,09:08:09,8,45,2,3.0,6.0
41,2023-01-01,09:08:13,8,24,1,3.0,3.0
42,2023-01-01,09:10:30,5,60,2,3.75,7.5
43,2023-01-01,09:10:30,5,78,1,4.5,4.5
44,2023-01-01,09:11:06,5,56,1,2.55,2.55
45,2023-01-01,09:11:06,5,77,1,3.0,3.0
46,2023-01-01,09:13:01,5,44,1,2.5,2.5
47,2023-01-01,09:13:15,5,56,2,2.55,5.1
48,2023-01-01,09:14:16,5,48,1,2.5,2.5
49,2023-01-01,09:14:17,8,23,1,2.5,2.5
50,2023-01-01,09:14:25,8,46,1,2.5,2.5
51,2023-01-01,09:14:41,8,32,1,3.0,3.0
52,2023-01-01,09:15:09,5,47,2,3.0,6.0
53,2023-01-01,09:15:13,5,43,2,3.0,6.0
54,2023-01-01,09:19:21,5,25,2,2.2,4.4
55,2023-01-01,09:19:26,8,59,1,4.5,4.5
56,2023-01-01,09:21:08,5,38,1,3.75,3.75
57,2023-01-01,09:22:17,8,45,1,3.0,3.0
58,2023-01-01,09:22:46,5,34,1,2.45,2.45
59,2023-01-01,09:29:56,8,36,2,3.75,7.5
60,2023-01-01,09:29:56,8,74,1,3.5,3.5
61,2023-01-01,09:29:57,8,53,1,3.0,3.0
62,2023-01-01,09:34:17,8,41,2,4.25,8.5
63,2023-01-01,09:40:13,5,41,1,4.25,4.25
64,2023-01-01,09:41:22,5,45,2,3.0,6.0
65,2023-01-01,09:41:22,5,79,1,3.75,3.75
66,2023-01-01,09:44:20,5,54,2,2.5,5.0
67,2023-01-01,09:44:46,5,24,1,3.0,3.0
68,2023-01-01,09:46:46,5,37,2,3.0,6.0
69,2023-01-01,09:47:40,8,40,2,3.75,7.5
70,2023-01-01,09:50:44,5,37,2,3.0,6.0
71,2023-01-01,09:50:44,5,69,1,3.25,3.25
72,2023-01-01,09:52:58,5,50,1,2.5,2.5
73,2023-01-01,09:53:28,8,47,1,3.0,3.0
74,2023-01-01,09:53:44,8,40,2,3.75,7.5
75,2023-01-01,09:53:44,8,72,1,3.25,3.25
76,2023-01-01,09:53:49,8,35,1,3.1,3.1
77,2023-01-01,09:54:46,5,23,1,2.5,2.5
78,2023-01-01,09:55:16,5,43,2,3.0,6.0
79,2023-01-01,09:56:30,8,22,1,2.0,2.0
80,2023-01-01,10:00:39,8,32,2,3.0,6.0
81,2023-01-01,10:03:55,8,36,2,3.75,7.5
82,2023-01-01,10:14:49,5,26,1,3.0,3.0
83,2023-01-01,10:14:49,5,71,1,3.75,3.75
84,2023-01-01,10:16:30,5,32,2,3.0,6.0
85,2023-01-01,10:16:33,8,54,1,2.5,2.5
86,2023-01-01,10:18:14,8,41,2,4.25,8.5
87,2023-01-01,10:18:52,5,25,2,2.2,4.4
88,2023-01-01,10:19:42,5,23,2,2.5,5.0
89,2023-01-01,10:24:19,8,54,1,2.5,2.5
90,2023-01-01,10:25:22,8,56,2,2.55,5.1
91,2023-01-01,10:25:45,5,58,2,3.5,7.0
92,2023-01-01,10:25:45,5,74,1,3.5,3.5
93,2023-01-01,10:27:48,8,47,2,3.0,6.0
94,2023-01-01,10:30:07,5,35,1,3.1,3.1
95,2023-01-01,10:30:07,5,70,1,3.25,3.25
96,2023-01-01,10:35:47,8,60,1,3.75,3.75
97,2023-01-01,10:41:53,5,59,1,4.5,4.5
98,2023-01-01,10:47:53,5,36,2,3.75,7.5
99,2023-01-01,10:49:13,8,51,2,3.0,6.0
100,2023-01-01,10:49:51,5,61,2,4.75,9.5
101,2023-01-01,10:51:17,5,47,1,3.0,3.0
102,2023-01-01,10:52:44,8,23,2,2.5,5.0
103,2023-01-01,10:52:44,8,73,1,3.75,3.75
104,2023-01-01,10:56:14,5,38,1,3.75,3.75
105,2023-01-01,10:56:14,5,76,1,3.5,3.5
106,2023-01-01,11:01:48,3,22,1,2.0,2.0
107,2023-01-01,11:01:58,3,38,1,3.75,3.75
108,2023-01-01,11:01:58,3,75,1,3.5,3.5
109,2023-01-01,11:03:25,5,47,2,3.0,6.0
110,2023-01-01,11:03:25,5,75,1,3.5,3.5
111,2023-01-01,11:04:32,8,39,2,4.25,8.5
112,2023-01-01,11:08:11,3,59,1,4.5,4.5
113,2023-01-01,11:08:59,8,51,2,3.0,6.0
114,2023-01-01,11:09:01,3,59,1,4.5,4.5
115,2023-01-01,11:10:21,3,47,1,3.0,3.0
116,2023-01-01,11:10:21,3,79,1,3.75,3.75
117,2023-01-01,11:10:58,3,46,1,2.5,2.5
118,2023-01-01,11:12:29,3,43,1,3.0,3.0
119,2023-01-01,11:16:02,3,45,2,3.0,6.0
120,2023-01-01,11:21:00,8,54,2,2.5,5.0
121,2023-01-01,11:21:04,5,51,2,3.0,6.0
122,2023-01-01,11:21:14,3,60,1,3.75,3.75
123,2023-01-01,11:23:01,8,31,1,2.2,2.2
124,2023-01-01,11:23:43,5,60,2,3.75,7.5
125,2023-01-01,11:23:43,5,77,1,3.0,3.0
126,2023-01-01,11:25:35,3,49,2,3.0,6.0
127,2023-01-01,11:25:37,5,40,2,3.75,7.5
128,2023-01-01,11:28:15,8,44,2,2.5,5.0
129,2023-01-01,11:28:29,3,33,2,3.5,7.0
130,2023-01-01,11:29:25,5,56,2,2.55,5.1
131,2023-01-01,11:29:57,8,35,2,3.1,6.2
132,2023-01-01,11:29:57,8,78,1,4.5,4.5
133,2023-01-01,11:30:22,8,23,1,2.5,2.5
134,2023-01-01,11:31:35,8,24,1,3.0,3.0
135,2023-01-01,11:31:43,5,51,2,3.0,6.0
136,2023-01-01,11:31:43,5,72,1,3.25,3.25
137,2023-01-01,11:31:53,5,54,2,2.5,5.0
138,2023-01-01,11:31:53,5,75,1,3.5,3.5
139,2023-01-01,11:39:14,5,60,1,3.75,3.75
140,2023-01-01,11:39:14,5,71,1,3.75,3.75
141,2023-01-01,11:40:26,3,52,2,2.5,5.0
142,2023-01-01,11:43:57,3,25,2,2.2,4.4
143,2023-01-01,11:44:09,5,38,1,3.75,3.75
144,2023-01-01,11:47:13,3,30,1,3.0,3.0
145,2023-01-01,11:48:56,8,50,2,2.5,5.0
